time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.22095917266926e-07,5.188853759236022e-08,10.00631717372332,6.282770879109039,6.282680761550399,0.0,6.29413466815566e-06,-1.5803849943444345e-05,0.21055652440245837,-0.026632420367083125,-0.03606763842476394,0.0,472.205055735354,469.4150317295448,471.56545699276137,469.50414030598245
0.12000000000000001,2.1394607412256396e-05,-1.7561441297565737e-05,10.024809256519122,6.28121491245583,6.280451060687307,0.0,0.0009725346453118978,-0.0007543409683718237,0.4057961364298642,-0.024569154601314185,-0.039444247602329,0.0,466.665140260478,466.4009634630274,465.8055200996538,465.96671684885456
0.18,0.0001325488657706633,-9.990140386797402e-05,10.048119207463953,6.2799896074561286,6.277876021421932,0.0,0.0029345423581820028,-0.002100249493356467,0.3712135150252556,-0.013204079180222615,-0.050967745719146196,0.0,393.3032897388374,392.23340273724625,390.8181768735582,391.8758113355604
0.23999999999999996,0.00043426536342792857,-0.00029633498289165954,10.074109706221998,6.279925103475382,6.2747480071683945,0.0,0.007448743304408204,-0.004485065942708064,0.4950880992040202,0.01605143677618496,-0.054572616494136965,0.0,442.6029224094785,442.3044050947995,445.5042298616002,447.88957062418314
0.3,0.0010740667101654044,-0.0006309877705771021,10.107476954052377,6.281049362411633,6.271154055810184,0.0,0.014235773318362122,-0.006559473909299227,0.617091830616928,0.023630959749652188,-0.07354679200709476,0.0,444.3811819642426,442.82065515110764,444.3142788145826,444.9351005484819
0.36000000000000004,0.002188334301081833,-0.0010623960499766445,10.14711268014139,6.282612228755788,6.2670316219447795,0.0,0.02333146889825572,-0.007671165181841494,0.7040434509721698,0.030488834859047773,-0.06045992027007134,0.0,432.7967889881135,433.89292703691285,432.70541967860953,433.2824278207469
0.4200000000000001,0.003919330062767587,-0.0015269653846399364,10.191395890368604,0.0015658755009306802,6.263739313387891,0.0,0.03470232947272279,-0.007619930256542009,0.7720137376423637,0.044363695388899504,-0.04555173115649684,0.0,426.6578602642133,427.9263780173556,426.4595917947952,427.6435327100125
0.48000000000000015,0.006417358409693917,-0.001941310734291922,10.240914551025174,0.004079237283692194,6.261259825509361,0.0,0.048830886478702026,-0.0059247737691719635,0.8785256976670066,0.03641577188143416,-0.03398751740888863,0.0,439.2618870991381,440.21873967025795,439.8540733299907,439.1964173336027
0.5400000000000001,0.009748145731809474,-0.002216272002451595,10.293943069164136,0.0061232944135403145,6.259210617807012,0.0,0.06237646718016335,-0.003052552001503439,0.8890780544496688,0.02890190767906851,-0.03448735989863027,0.0,409.137444527873,409.0923536888944,408.0021536174598,407.331428898862
0.6000000000000002,0.014044926772903695,-0.0022524147229763874,10.352384614404652,0.008168881931605476,6.257252020011208,0.0,0.08107182837158373,0.002060941975401312,1.0588238145434654,0.04285195690863072,-0.029189739170205724,0.0,460.11213474757056,460.5309281319596,457.89860602803645,459.00730533773003
0.6600000000000003,0.019427996631080323,-0.0019579325151846904,10.418011093085045,0.010325872202903597,6.255456244354026,0.0,0.09853470358268512,0.007990843978421506,1.1286514765645004,0.01625390995396722,-0.03145167386738728,0.0,428.47803126079197,428.2853924249897,429.6477294898538,427.38756104885084
0.7200000000000003,0.025962118387552965,-0.0012457312785451194,10.490229871678292,0.01122308532029681,6.253123603496803,0.0,0.11948735970690019,0.015850033649680916,1.2784769545950585,0.012217146305034142,-0.06099833297384261,0.0,455.60657198265926,453.2374247848155,453.37582921398956,453.0513051675951
0.7800000000000004,0.03369011223401383,-8.832833143254413e-05,10.56745724766695,0.011686963866140765,6.249270422288859,0.0,0.1384476957115349,0.02278519988741237,1.295737101350774,-0.003228746541277321,-0.07159462754312697,0.0,412.68191063112477,411.7421937686707,411.6738436150589,410.30489230436666
0.8400000000000004,0.04274264401355118,0.0015305192457242326,10.64902685735662,0.012424617170817776,6.244600417445767,0.0,0.16376816610889083,0.031214577160040006,1.4230807394942173,0.03262687682404804,-0.09478190106697307,0.0,448.3164649908576,446.4236060260391,445.81430209550257,448.73412632648746
0.9000000000000005,0.05337147281508837,0.0036625284531016933,10.737011843156957,0.014483721641801672,6.239143886990622,0.0,0.19107725580299229,0.040051666546592604,1.509613851866613,0.0375026619468482,-0.0842008146963232,0.0,434.8788173370855,435.75695124529653,434.14591501268364,434.5553030160394
0.9600000000000005,0.06581965366184873,0.006391431408215276,10.831799358542183,0.01665720119851688,6.233633874811982,0.0,0.2244138772400285,0.051147283251867806,1.649745068803556,0.03353829044560065,-0.11497643782679345,0.0,452.49781058913425,450.0061998662518,452.8303870450393,452.5119639521946
1.0200000000000005,0.08046616775251654,0.009856533436431298,10.936373450714964,0.018967352245722324,6.22696849758802,0.0,0.2645646412797229,0.06460010994371786,1.835727659144653,0.046933528613295646,-0.10427646833661701,0.0,466.9220536687784,467.7456616731805,464.8675857956218,465.91660015942267
1.0800000000000005,0.09753043709604627,0.014136676250550996,11.049600048475325,0.021615519024361873,6.22076736176119,0.0,0.30487049738163974,0.07834746374963841,1.9382744556827283,0.037856486921417395,-0.101566551861624,0.0,440.2886783664155,440.50340586665624,442.8860488024857,442.1399961531169
1.1400000000000006,0.11732599777623016,0.01935921077819114,11.171885226421816,0.02333609843143325,6.214904033223032,0.0,0.35565320272077244,0.09597860832447148,2.13748701962846,-0.004952518196128658,-0.09097385976312043,0.0,470.7350152274803,471.5462945611043,473.4254340312221,470.1204155816968
